;name;satisfaction_level;last_evaluation;number_projects;average_monthly_hours;time_spent_company;work_accident;left;promotion_last_5_years;department;salary;salary_level
9362;KEESEE;0.56;0.49;3;208;3;0;3;0;support;low;1
536;CARSON;0.11;0.85;6;305;4;0;3;0;accounting;medium;2
12690;AROCHO;0.36;0.49;2;145;3;0;2;0;technical;medium;2
10336;ICKES;0.85;0.69;5;273;3;1;0;0;hr;low;1
6779;DILWORTH;0.31;0.92;5;197;5;0;4;0;IT;low;1
14255;HUCKINS;0.09;0.89;6;276;4;0;4;0;technical;low;1
9740;MCALPIN;0.73;0.82;4;205;4;0;1;0;technical;medium;2
14316;HALLE;0.24;0.46;7;224;5;0;3;0;accounting;medium;2
9573;ULLMAN;0.93;0.78;5;191;4;0;0;0;hr;medium;2
9129;POOR;0.72;0.91;3;267;2;0;3;0;support;low;1
10150;HENRIKSEN;0.61;0.67;3;266;3;0;1;0;RandD;medium;2
14707;MAIDA;0.1;0.82;6;244;4;0;3;0;technical;medium;2
7027;GARDUNO;0.65;0.59;3;167;2;0;0;0;technical;high;3
11229;DEROUEN;0.63;0.61;5;186;10;0;4;0;technical;low;1
4607;BINKLEY;0.87;0.42;5;252;5;0;0;0;sales;low;1
10000;DEWALT;0.93;0.49;4;255;2;0;0;0;management;high;3
14339;LAUTERBACH;0.09;0.82;6;250;4;0;4;0;support;low;1
10285;ANSELMO;0.65;0.76;4;171;4;0;1;0;technical;low;1
12498;LORUSSO;0.44;0.48;2;143;3;0;1;0;technical;medium;2
4199;BLYTHE;0.98;0.51;3;157;3;0;0;0;marketing;medium;2
11963;WICKERSHAM;0.9;0.48;4;136;7;0;2;0;IT;low;1
3715;REIMER;0.79;0.7;4;268;2;0;0;0;support;medium;2
1100;TALLEY;0.11;0.83;6;262;4;0;3;0;hr;low;1
1496;MILLIGAN;0.1;0.85;7;259;4;0;3;0;technical;low;1
8262;TRAVER;0.55;0.71;4;223;3;0;2;0;sales;medium;2
274;LUCAS;0.11;0.9;6;254;4;0;4;0;technical;low;1
3533;JACOBY;0.66;0.48;4;229;4;0;0;0;sales;medium;2
2470;WHIPPLE;0.62;0.72;5;180;3;0;1;0;accounting;low;1
3918;WORTHY;0.38;0.5;2;187;2;1;1;0;sales;medium;2
2124;HAUSER;0.72;0.5;3;257;6;0;1;0;IT;low;1
95;GUTIERREZ;0.37;0.51;2;155;3;0;2;0;sales;low;1
11363;FERRERA;0.57;0.6;2;163;3;0;1;0;sales;medium;2
7521;MARCHETTI;0.81;0.83;3;193;3;0;1;0;technical;medium;2
5858;LEVINSON;0.78;0.63;3;192;2;0;1;0;support;medium;2
5650;ALMARAZ;0.99;0.82;6;185;4;1;0;0;sales;high;3
8509;PERSONS;0.6;0.98;4;192;3;0;3;0;technical;low;1
9645;GREESON;0.55;0.89;6;99;3;0;1;0;sales;low;1
12444;PETTYJOHN;0.39;0.54;2;127;3;0;2;0;IT;low;1
13561;MASSINGILL;0.53;0.61;3;148;10;0;4;0;management;high;3
7426;BRIDGEMAN;0.52;0.63;5;241;3;0;3;0;sales;low;1
7432;WIDNER;1.0;0.97;5;141;2;0;0;0;accounting;medium;2
12873;LAGOS;0.8;0.66;4;223;3;0;0;0;support;medium;2
6533;LEMLEY;0.87;0.58;3;140;3;1;0;0;support;medium;2
12410;KLECKNER;0.28;0.45;6;218;4;0;3;0;accounting;low;1
5419;RONEY;0.74;0.93;3;204;4;0;3;0;marketing;low;1
9423;BERKEY;0.8;0.51;3;159;3;0;1;0;technical;low;1
10463;CARDONE;0.21;0.43;2;249;3;0;4;0;marketing;low;1
8749;LEONHARDT;0.15;0.84;3;201;6;0;4;0;support;medium;2
1153;DOWNING;0.1;0.88;7;300;4;0;3;0;sales;medium;2
351;FLETCHER;0.48;0.93;3;219;6;0;3;0;technical;low;1
6365;DAGGETT;0.63;0.72;2;161;5;0;3;0;hr;medium;2
14467;SWIDERSKI;0.11;0.81;6;266;4;1;2;0;sales;medium;2
6864;BERKLEY;0.23;0.51;6;194;4;1;1;0;RandD;medium;2
5127;BLANCHETTE;0.77;0.84;3;188;4;0;1;0;sales;medium;2
3995;DION;0.63;0.4;6;177;2;1;0;0;sales;medium;2
5184;WYANT;0.59;0.51;3;243;2;0;3;0;RandD;low;1
12146;RAINVILLE;0.76;0.92;4;239;5;0;2;0;product_mng;low;1
4499;BATTLES;0.94;0.8;5;111;4;0;0;1;RandD;medium;2
180;STEPHENS;0.4;0.47;2;146;3;0;1;0;sales;medium;2
11258;HARDT;0.76;0.77;4;169;10;0;4;0;management;medium;2
5843;KOWALCZYK;0.58;0.77;5;272;2;1;1;0;technical;low;1
10604;BLAKELEY;0.8;0.67;3;236;3;1;0;0;RandD;low;1
3170;LANEY;0.84;0.37;5;186;2;0;0;0;technical;medium;2
14968;LETCHER;0.4;0.47;2;128;3;0;1;0;sales;medium;2
5931;BUSHEY;0.66;0.56;3;169;2;1;0;0;support;medium;2
4523;SPOONER;0.69;0.8;5;215;3;0;1;0;sales;low;1
3974;RAU;0.99;0.61;3;254;3;0;0;0;marketing;medium;2
13804;GILLELAND;0.65;0.85;4;172;3;0;0;0;sales;medium;2
9057;HESSLER;0.75;0.82;4;143;2;0;1;0;support;low;1
7827;FISKE;0.59;0.62;4;205;3;0;1;0;technical;medium;2
5331;DONOFRIO;0.78;0.53;3;156;3;0;1;0;product_mng;low;1
11685;DRANE;0.41;0.38;4;142;10;1;4;0;support;low;1
6685;GRIGG;0.83;0.86;4;139;3;0;0;0;support;medium;2
11237;NORTHUP;0.24;0.5;4;282;4;1;3;0;support;low;1
