;name;satisfaction_level;last_evaluation;number_projects;average_monthly_hours;time_spent_company;work_accident;left;promotion_last_5_years;department;salary;salary_level
592;HORN;0.1;0.8;6;264;4;0;4;0;technical;low;1
591;ATKINSON;0.66;0.67;2;255;3;0;4;0;technical;low;1
9145;BENEDETTO;0.72;0.97;3;239;3;0;0;0;IT;low;1
2582;ELY;0.58;0.86;5;271;3;0;0;0;IT;low;1
13221;FRAY;0.62;0.91;3;269;8;0;0;0;support;medium;2
11011;TIMKO;0.21;0.7;3;238;8;0;0;0;technical;medium;2
1655;WHITMAN;0.09;0.9;6;256;4;0;4;0;support;low;1
6875;HOOTEN;0.8;0.74;5;181;4;1;0;0;management;medium;2
6599;CHARTIER;0.99;0.62;5;133;3;0;0;0;technical;medium;2
14004;GERTH;0.77;0.82;3;153;3;1;0;0;technical;medium;2
5980;DAUGHTRY;0.65;0.7;3;243;3;0;0;0;sales;medium;2
2754;AIKEN;0.53;0.81;3;253;3;0;0;0;marketing;medium;2
811;AYERS;0.09;0.97;7;288;4;0;4;0;support;medium;2
1208;MADISON;0.1;0.79;7;284;4;0;4;0;IT;medium;2
1719;FOUNTAIN;0.77;0.96;5;249;6;0;4;0;technical;low;1
12655;CHUNN;0.77;1.0;4;232;5;0;4;0;technical;medium;2
5064;FRIESEN;0.45;0.53;3;181;4;1;0;0;accounting;low;1
5580;LAZARO;0.88;0.71;5;246;3;0;0;0;marketing;medium;2
6636;NAVE;0.65;0.6;3;218;4;0;0;0;RandD;medium;2
7262;LODGE;0.96;0.6;5;182;5;0;0;0;sales;medium;2
9820;AMBROSIO;0.96;0.85;5;211;4;0;0;0;support;low;1
8078;ARDOIN;0.77;0.91;5;268;3;1;0;0;IT;medium;2
1513;SIEGEL;0.84;0.93;4;250;5;0;4;0;IT;medium;2
3640;SABO;0.63;0.82;5;229;2;0;0;0;support;medium;2
3914;PREWITT;0.76;0.83;4;246;2;0;0;0;sales;low;1
3050;GARDINER;0.85;0.82;6;141;5;0;0;0;RandD;low;1
11627;ORTEGO;0.97;0.64;4;238;10;1;0;0;product_mng;medium;2
4950;WINFREY;0.59;0.42;3;196;3;0;0;0;product_mng;low;1
6853;TINGLE;0.8;0.82;4;175;2;0;0;0;management;low;1
13553;WATROUS;0.59;0.64;5;123;2;0;0;0;product_mng;low;1
8579;WILLHITE;0.59;0.56;4;250;2;0;0;0;accounting;medium;2
3039;NEWSOM;0.16;0.87;3;99;5;1;0;0;IT;medium;2
4815;ROUNTREE;0.92;0.56;4;170;3;0;0;0;marketing;medium;2
2681;DUBOSE;0.89;0.67;3;226;3;0;0;0;sales;medium;2
5234;GIST;0.87;0.51;4;173;3;0;0;0;support;low;1
10995;SESSION;0.67;0.49;3;224;3;0;0;0;IT;low;1
6607;GREAVES;0.68;0.89;4;227;3;0;0;0;technical;medium;2
1370;TEAGUE;0.74;0.99;5;263;5;0;4;0;RandD;low;1
11726;KINNE;0.57;0.82;5;233;7;0;0;1;sales;medium;2
1337;SWAIN;0.41;0.56;2;143;3;0;4;0;technical;low;1
7125;MINGO;0.56;0.51;5;256;4;1;0;0;sales;low;1
5602;SETTLES;0.68;0.53;3;156;4;0;0;0;accounting;medium;2
7846;MURCHISON;0.73;0.62;5;134;3;0;0;0;IT;high;3
481;MCGUIRE;0.1;0.79;6;274;4;0;4;0;sales;low;1
13583;RASHEED;0.98;0.74;3;185;3;0;0;0;sales;medium;2
9268;TAKACS;0.54;0.48;6;196;2;0;0;0;hr;medium;2
7109;MCGUINNESS;0.78;0.91;4;202;2;0;0;0;sales;medium;2
1118;BRUNO;0.75;0.97;4;245;5;0;4;0;support;medium;2
14797;BARTOLOME;0.46;0.57;2;152;3;0;4;0;support;low;1
6946;BOTTS;0.59;0.75;3;168;3;0;0;0;RandD;medium;2
